Carat,Clarity,Color,Depth,Table,Price,Lab,Dealer
2.17,VS2,H,62.5,56,26507.0925,J,224
0.92,VS2,H,61.5,60,4209,D,112
1.96,I1,G,,,7173.6,none,137
1.19,SI1,I,59.79999924,59,8710.8,J,121
0.78,VS1,F,62.5,60,4639.05,D,112
0.74,VS2,F,61.5,60,3154.1575,D,112
0.74,SI1,D,54.79999924,58,3814.33,D,112
0.73,SI1,F,62.09999847,60,3400.97875,D,112
2.24,SI2,H,60.20000076,57,18121.88,D,224
0.79,VS2,H,59.70000076,60,3433.5375,D,112
2.43,SI2,F,62.59999847,59,23420.34,D,224
2.19,SI1,H,55.70000076,63,21641.58,none,41
2.14,VS2,I,61.79999924,61,20103.16,J,41
1,VVS2,F,59,61,10254.1,J,225
2.23,VS2,G,61.59999847,56,34160.53375,J,224
3.08,IF,I,59.70000076,55,43611.645,J,224
0.52,VS1,G,58.90000153,61,2537.6,J,224
2.02,VS1,J,59,63,16265.04,J,41
0.46,VS2,G,61.5,62,1532.7775,J,224
1.75,SI2,G,62.29999924,58,13877.5,J,41
1.03,VS2,I,63.59999847,58,6251.585,J,224
1.67,VS1,I,59.59999847,62,14465.54,J,41
0.65,VS2,E,60.79999924,61,3613.10625,J,224
1.61,VS1,I,61.20000076,60,13945.82,J,41
1,VS2,H,63.90000153,58,6610.875,J,224
1.51,IF,J,62,60,11790.08,J,41
2.03,VS2,H,64.90000153,59,21979.825,J,224
1,VS2,E,59.5,59,8578.125,J,224
1.59,SI2,H,57.70000076,63,11347.83,D,224
1.05,SI1,I,63.20000076,58,5764.5,J,224
1.51,SI2,D,64.30000305,63,12573.015,none,41
1.03,VS2,I,63.09999847,57,6251.585,J,224
1.09,SI1,H,62.5,57,7264.0325,J,224
1.01,SI1,H,58.70000076,57,6730.8925,J,224
1,SI1,H,64.59999847,59,6069.5,J,224
1.02,SI1,I,65.19999695,58,5599.8,J,224
1,SI1,I,61.20000076,61,5200.25,J,224
1.02,VS2,G,60.70000076,60,8135.265,J,224
1.5,IF,J,62.79999924,61,11712,J,41
0.93,IF,E,60.20000076,61,9183.16875,J,224
0.73,VS1,E,60.40000153,55,4864.9025,J,224
1.51,VS1,F,62.40000153,59,19112.825,J,224
1.09,VS2,H,59.20000076,61,7912.31,J,224
1.2,SI1,H,58.90000153,66,8198.4,J,41
1.19,VS2,J,58.59999847,58,7095.6725,J,41
1.16,VS2,G,59.20000076,65,9481.84,D,41
1.13,VS2,H,61.5,65,8935.05125,none,41
1.12,VS2,H,57.40000153,72,8335.04,none,41
0.55,SI2,H,60.5,60,1593.625,none,6
0.55,SI2,F,63.90000153,57,1866.21875,G,6
1.78,VVS2,J,60.90000153,57,14332.56,J,224
1.09,VS2,H,62.70000076,59,8314.5745,J,41
1.09,SI2,E,63.40000153,62,8477.475,J,41
1.75,SI2,H,61.70000076,56,11689.125,D,9
2.04,VS1,G,58.90000153,61,30410.025,J,224
1.07,SI1,J,59.20000076,60,5613.22,none,41
3.02,VS2,G,62.29999924,55,48150.5025,J,224
2.58,VVS2,D,62.5,55,70958.7075,J,224
1.06,SI1,K,63.5,58,5172.8,none,41
1.05,VS1,H,60.09999847,66,8710.8,none,41
1.04,SI1,F,60.79999924,60,8627.84,J,41
